11-05-2026 09:50:56 | ASHISH | TRUE
11-05-2026 09:51:36 | ASHISH | RESET
11-05-2026 09:52:21 | ASHISH | TRUE
11-05-2026 09:59:29 | ASHISH | RESET
11-05-2026 11:34:57 | ASHISH | TRUE
11-05-2026 11:35:00 | ASHISH | TRUE
11-05-2026 11:35:12 | ASHISH | TRUE
11-05-2026 11:35:39 | UTKARSH | TRUE
11-05-2026 12:21:42 | UTKARSH | TRUE
11-05-2026 12:22:13 | RITESH | TRUE
11-05-2026 12:27:16 | ASHISH | TRUE
11-05-2026 12:29:40 | RAJSHREE | RESET
11-05-2026 12:29:41 | RAJDHWAJ | RESET
11-05-2026 12:29:42 | RAJTARANG | RESET
11-05-2026 12:29:43 | RAJTARANG | RESET
11-05-2026 12:29:43 | RAJKIRAN | RESET
